Constituency,Party of incumbent before election,Party of incumbent before election2,Member returned,Party of incumbent after election,Party of incumbent after election2,Notes
Constituency,"Party of incumbent
before election","Party of incumbent
before election",Member returned,"Party of incumbent
after election","Party of incumbent
after election",Notes
Aberavon,,Labour,Stephen Kinnock,,Labour,Seat held
Aberconwy,,Independent,Robin Millar,,Conservative,"Previous incumbent, Guto Bebb, did not stand"
Aberdeen North,,Scottish National,Kirsty Blackman,,Scottish National,Seat held
Aberdeen South,,Conservative,Stephen Flynn,,Scottish National,"Previous incumbent, Ross Thomson, did not stand"
Airdrie and Shotts,,Scottish National,Neil Gray,,Scottish National,Seat held
Aldershot,,Conservative,Leo Docherty,,Conservative,Seat held
Aldridge-Brownhills,,Conservative,Wendy Morton,,Conservative,Seat held
Altrincham and Sale West,,Conservative,Graham Brady,,Conservative,Seat held
Alyn and Deeside,,Labour,Mark Tami,,Labour,Seat held
Amber Valley,,Conservative,Nigel Mills,,Conservative,Seat held
Angus,,Conservative,Dave Doogan,,Scottish National,"Defeated incumbent, Kirstene Hair"
Arfon,,Plaid Cymru,Hywel Williams,,Plaid Cymru,Seat held
Argyll and Bute,,Scottish National,Brendan O'Hara,,Scottish National,Seat held
Arundel and South Downs,,Conservative,Andrew Griffith,,Conservative,"Previous incumbent, Nick Herbert, did not stand"
Ashfield,,Labour,Lee Anderson,,Conservative,"Previous incumbent, Gloria de Piero, did not stand"
Ashford,,Conservative,Damian Green,,Conservative,Seat held
Ashton-under-Lyne,,Labour,Angela Rayner,,Labour,Seat held
Aylesbury,,Conservative,Rob Butler,,Conservative,"Previous incumbent, David Lidington, did not stand"
"Ayr, Carrick and Cumnock",,Conservative,Allan Dorans,,Scottish National,"Previous incumbent, Bill Grant, did not stand"
Banbury,,Conservative,Victoria Prentis,,Conservative,Seat held
Banff and Buchan,,Conservative,David Duguid,,Conservative,Seat held
Barking,,Labour,Margaret Hodge,,Labour,Seat held
Barnsley Central,,Labour,Dan Jarvis,,Labour,Seat held
Barnsley East,,Labour,Stephanie Peacock,,Labour,Seat held
Barrow and Furness,,Independent (The Independents),Simon Fell,,Conservative,"Previous incumbent, John Woodcock, did not stand"
Basildon and Billericay,,Conservative,John Baron,,Conservative,Seat held
Basingstoke,,Conservative,Maria Miller,,Conservative,Seat held
Bassetlaw,,Vacant,Brendan Clarke-Smith,,Conservative,"Previous incumbent, John Mann, did not stand"
Bath,,Liberal Democrats,Wera Hobhouse,,Liberal Democrats,Seat held
Batley and Spen,,Labour Co-operative,Tracy Brabin,,Labour Co-operative,Seat held
Battersea,,Labour,Marsha de Cordova,,Labour,Seat held
Beaconsfield,,Independent,Joy Morrissey,,Conservative,"Defeated incumbent, Dominic Grieve"
Beckenham,,Conservative,Bob Stewart,,Conservative,Seat held
Bedford,,Labour,Mohammad Yasin,,Labour,Seat held
Belfast East,,DUP,Gavin Robinson,,DUP,Seat held
Belfast North,,DUP,John Finucane,,Sinn Féin,"Defeated incumbent, Nigel Dodds"
Belfast South,,DUP,Claire Hanna,,SDLP,"Defeated incumbent, Emma Little-Pengelly"
Belfast West,,Sinn Féin,Paul Maskey,,Sinn Féin,Seat held
Bermondsey and Old Southwark,,Labour,Neil Coyle,,Labour,Seat held
Berwick-upon-Tweed,,Conservative,Anne-Marie Trevelyan,,Conservative,Seat held
"Berwickshire, Roxburgh and Selkirk",,Conservative,John Lamont,,Conservative,Seat held
Bethnal Green and Bow,,Labour,Rushanara Ali,,Labour,Seat held
Beverley and Holderness,,Conservative,Graham Stuart,,Conservative,Seat held
Bexhill and Battle,,Conservative,Huw Merriman,,Conservative,Seat held
Bexleyheath and Crayford,,Conservative,David Evennett,,Conservative,Seat held
Birkenhead,,Birkenhead Social Justice,Mick Whitley,,Labour,"Defeated incumbent, Frank Field"
Birmingham Edgbaston,,Labour Co-operative,Preet Gill,,Labour Co-operative,Seat held
Birmingham Erdington,,Labour,Jack Dromey,,Labour,Seat held
Birmingham Hall Green,,Labour,Tahir Ali,,Labour,"Defeated incumbent, Roger Godsiff"
Birmingham Hodge Hill,,Labour,Liam Byrne,,Labour,Seat held
Birmingham Ladywood,,Labour,Shabana Mahmood,,Labour,Seat held
Birmingham Northfield,,Labour,Gary Sambrook,,Conservative,"Defeated incumbent, Richard Burden"
Birmingham Perry Barr,,Labour,Khalid Mahmood,,Labour,Seat held
Birmingham Selly Oak,,Labour,Steve McCabe,,Labour,Seat held
Birmingham Yardley,,Labour,Jess Phillips,,Labour,Seat held
Bishop Auckland,,Labour,Dehenna Davison,,Conservative,"Defeated incumbent, Helen Goodman"
Blackburn,,Labour,Kate Hollern,,Labour,Seat held
Blackley and Broughton,,Labour,Graham Stringer,,Labour,Seat held
Blackpool North and Cleveleys,,Conservative,Paul Maynard,,Conservative,Seat held
Blackpool South,,Labour,Scott Benton,,Conservative,"Defeated incumbent, Gordon Marsden"
Blaenau Gwent,,Labour,Nick Smith,,Labour,Seat held
Blaydon,,Labour,Liz Twist,,Labour,Seat held
Blyth Valley,,Labour,Ian Levy,,Conservative,"Previous incumbent, Ronnie Campbell, did not stand"
Bognor Regis and Littlehampton,,Conservative,Nick Gibb,,Conservative,Seat held
Bolsover,,Labour,Mark Fletcher,,Conservative,"Defeated incumbent, Dennis Skinner"
Bolton North East,,Labour,Mark Logan,,Conservative,"Defeated incumbent, David Crausby"
Bolton South East,,Labour,Yasmin Qureshi,,Labour,Seat held
Bolton West,,Conservative,Chris Green,,Conservative,Seat held
Bootle,,Labour,Peter Dowd,,Labour,Seat held
Boston and Skegness,,Conservative,Matt Warman,,Conservative,Seat held
Bosworth,,Conservative,Luke Evans,,Conservative,"Previous incumbent, David Tredinnick, did not stand"
Bournemouth East,,Conservative,Tobias Ellwood,,Conservative,Seat held
Bournemouth West,,Conservative,Conor Burns,,Conservative,Seat held
Bracknell,,Liberal Democrats,James Sunderland,,Conservative,"Previous incumbent, Phillip Lee, did not stand"
Bradford East,,Labour,Imran Hussain,,Labour,Seat held
Bradford South,,Labour,Judith Cummins,,Labour,Seat held
Bradford West,,Labour,Naseem Shah,,Labour,Seat held
Braintree,,Conservative,James Cleverly,,Conservative,Seat held
Brecon and Radnorshire,,Liberal Democrats,Fay Jones,,Conservative,"Defeated incumbent, Jane Dodds"
Brent Central,,Labour,Dawn Butler,,Labour,Seat held
Brent North,,Labour,Barry Gardiner,,Labour,Seat held
Brentford and Isleworth,,Labour,Ruth Cadbury,,Labour,Seat held
Brentwood and Ongar,,Conservative,Alex Burghart,,Conservative,Seat held
Bridgend,,Labour,Jamie Wallis,,Conservative,"Defeated incumbent, Madeleine Moon"
Bridgwater and West Somerset,,Conservative,Ian Liddell-Grainger,,Conservative,Seat held
Brigg and Goole,,Conservative,Andrew Percy,,Conservative,Seat held
Brighton Kemptown,,Labour Co-operative,Lloyd Russell-Moyle,,Labour Co-operative,Seat held
Brighton Pavilion,,Green,Caroline Lucas,,Green,Seat held
Bristol East,,Labour,Kerry McCarthy,,Labour,Seat held
Bristol North West,,Labour,Darren Jones,,Labour,Seat held
Bristol South,,Labour,Karin Smyth,,Labour,Seat held
Bristol West,,Labour,Thangam Debbonaire,,Labour,Seat held
Broadland,,Conservative,Jerome Mayhew,,Conservative,"Previous incumbent, Keith Simpson, did not stand"
Bromley and Chislehurst,,Conservative,Bob Neill,,Conservative,Seat held
Bromsgrove,,Conservative,Sajid Javid,,Conservative,Seat held
Broxbourne,,Conservative,Charles Walker,,Conservative,Seat held
Broxtowe,,Change UK,Darren Henry,,Conservative,"Defeated incumbent, Anna Soubry"
Buckingham,,Vacant,Greg Smith,,Conservative,"Previous incumbent, John Bercow, did not stand"
Burnley,,Labour,Antony Higginbotham,,Conservative,"Defeated incumbent, Julie Cooper"
Burton,,Conservative,Kate Griffiths,,Conservative,"Previous incumbent, Andrew Griffiths, did not stand"
Bury North,,Labour,James Daly,,Conservative,"Defeated incumbent, James Frith"
Bury South,,Independent,Christian Wakeford,,Conservative,"Defeated incumbent, Ivan Lewis"
Bury St Edmunds,,Conservative,Jo Churchill,,Conservative,Seat held
Caerphilly,,Labour,Wayne David,,Labour,Seat held
"Caithness, Sutherland and Easter Ross",,Liberal Democrats,Jamie Stone,,Liberal Democrats,Seat held
Calder Valley,,Conservative,Craig Whittaker,,Conservative,Seat held
Camberwell and Peckham,,Labour,Harriet Harman,,Labour,Seat held
Camborne and Redruth,,Conservative,George Eustice,,Conservative,Seat held
Cambridge,,Labour,Daniel Zeichner,,Labour,Seat held
Cannock Chase,,Conservative,Amanda Milling,,Conservative,Seat held
Canterbury,,Labour,Rosie Duffield,,Labour,Seat held
Cardiff Central,,Labour,Jo Stevens,,Labour,Seat held
Cardiff North,,Labour,Anna McMorrin,,Labour,Seat held
Cardiff South and Penarth,,Labour Co-operative,Stephen Doughty,,Labour Co-operative,Seat held
Cardiff West,,Labour,Kevin Brennan,,Labour,Seat held
Carlisle,,Conservative,John Stevenson,,Conservative,Seat held
Carmarthen East and Dinefwr,,Plaid Cymru,Jonathan Edwards,,Plaid Cymru,Seat held
Carmarthen West and South Pembrokeshire,,Conservative,Simon Hart,,Conservative,Seat held
Carshalton and Wallington,,Liberal Democrats,Elliot Colburn,,Conservative,"Defeated incumbent, Tom Brake"
Castle Point,,Conservative,Rebecca Harris,,Conservative,Seat held
Central Ayrshire,,Scottish National,Philippa Whitford,,Scottish National,Seat held
Central Devon,,Conservative,Mel Stride,,Conservative,Seat held
Central Suffolk and North Ipswich,,Conservative,Dan Poulter,,Conservative,Seat held
Ceredigion,,Plaid Cymru,Ben Lake,,Plaid Cymru,Seat held
Charnwood,,Conservative,Edward Argar,,Conservative,Seat held
Chatham and Aylesford,,Conservative,Tracey Crouch,,Conservative,Seat held
Cheadle,,Conservative,Mary Robinson,,Conservative,Seat held
Chelmsford,,Conservative,Vicky Ford,,Conservative,Seat held
Chelsea and Fulham,,Conservative,Greg Hands,,Conservative,Seat held
Cheltenham,,Conservative,Alex Chalk,,Conservative,Seat held
Chesham and Amersham,,Conservative,Cheryl Gillan,,Conservative,Seat held
Chesterfield,,Labour,Toby Perkins,,Labour,Seat held
Chichester,,Conservative,Gillian Keegan,,Conservative,Seat held
Chingford and Woodford Green,,Conservative,Iain Duncan Smith,,Conservative,Seat held
Chippenham,,Conservative,Michelle Donelan,,Conservative,Seat held
Chipping Barnet,,Conservative,Theresa Villiers,,Conservative,Seat held
Chorley,,Speaker,Lindsay Hoyle,,Speaker,Seat held
Christchurch,,Conservative,Christopher Chope,,Conservative,Seat held
Cities of London and Westminster,,Conservative,Nickie Aiken,,Conservative,"Previous incumbent, Mark Field, did not stand"
City of Chester,,Labour,Chris Matheson,,Labour,Seat held
City of Durham,,Labour,Mary Foy,,Labour,"Previous incumbent, Roberta Blackman-Woods, did not stand"
Clacton,,Conservative,Giles Watling,,Conservative,Seat held
Cleethorpes,,Conservative,Martin Vickers,,Conservative,Seat held
Clwyd South,,Labour,Simon Baynes,,Conservative,"Defeated incumbent, Susan Elan Jones"
Clwyd West,,Conservative,David Jones,,Conservative,Seat held
"Coatbridge, Chryston and Bellshill",,Labour,Steven Bonnar,,Scottish National,"Defeated incumbent, Hugh Gaffney"
Colchester,,Conservative,Will Quince,,Conservative,Seat held
Colne Valley,,Labour,Jason McCartney,,Conservative,"Defeated incumbent, Thelma Walker"
Congleton,,Conservative,Fiona Bruce,,Conservative,Seat held
Copeland,,Conservative,Trudy Harrison,,Conservative,Seat held
Corby,,Conservative,Tom Pursglove,,Conservative,Seat held
Coventry North East,,Labour,Colleen Fletcher,,Labour,Seat held
Coventry North West,,Labour,Taiwo Owatemi,,Labour,"Previous incumbent, Geoffrey Robinson, did not stand"
Coventry South,,Labour,Zarah Sultana,,Labour,"Previous incumbent, Jim Cunningham, did not stand"
Crawley,,Conservative,Henry Smith,,Conservative,Seat held
